,Country Code,"GNI per capita, Atlas method (current US$)","Labor force, female (% of total labor force)","Life expectancy at birth, total (years)",Population growth (annual %),"Population, total",Poverty headcount ratio at national poverty line (% of population),"Public spending on education, total (% of GDP)",Rural population (% of total population),"School enrollment, primary (% net)",Urban population (% of total population),City Average PM2.5,Total Average PM2.5
115,MNG,3690,44.73482229896639,69.689,1.7959102043121,3170214,28.4,6.17301988601685,31.555000000000007,97.69756,68.445,21.76807,26.95631
116,MOZ,460,52.3300648386726,60.163,2.91361831836918,29496009,..,5.45218992233276,64.012,93.92934,35.988,36.65718,47.01187
117,MRT,1640,30.906298363662888,64.704,2.78008863129266,4403312,..,..,46.328,79.5744,53.672,16.92825,18.9757
118,MUS,12270,39.16574172838931,74.41634146341464,0.0545472669534157,1265303,..,4.83458995819092,59.207,94.80512,40.793,17.04121,18.734
119,MWI,440,48.74629368128459,63.798,2.64174528787889,18143215,..,3.32295989990234,83.063,..,16.937,21.00695,24.57155
120,MYS,10650,38.538152689091106,75.997,1.35196001397349,31528033,5.6,4.47865009307861,23.964,..,76.036,13.74803,16.03268
121,NAM,4920,49.37205599707964,63.373,1.88328489392289,2448300,..,8.88112258911133,49.968,97.48892,50.032,42.78668,50.49005
122,NER,570,42.7480651481902,62.024,3.81673672075794,22442831,40.8,3.457279920578,83.575,..,16.425,54.27152,54.87634
123,NGA,1960,44.742421634410626,54.332,2.586551303075,195874685,40.1,..,49.656,..,50.344,27.03729,27.94875
124,NIC,1970,38.52855025595444,74.275,1.25537577858764,6465502,..,4.46999979019165,41.478,..,58.522,12.28049,12.7533
125,NLD,51320,46.43898638330569,81.81219512195123,0.583933408920832,17231624,13.2,5.35764980316162,8.510000000000005,..,91.49,9.63031,10.62552
126,NOR,80320,47.90515902972638,82.75853658536586,0.660090844249,5311916,12.7,7.64411020278931,17.751999999999995,..,82.248,23.42207,24.61951
127,NPL,1120,56.00204741999436,70.478,1.66177642022913,28095712,..,4.43445014953613,80.26,..,19.74,22.4868,22.98522
128,NRU,14500,..,..,0.950371773207882,10678,..,5.87716007232666,0,..,100,7.23311,7.24039
129,NZL,41650,47.66823490809418,81.85853658536587,1.79124016759035,4900600,..,6.04850006103516,13.462000000000003,..,86.538,24.51982,26.17556
130,OMN,16370,12.592959246876005,77.633,3.44516591013401,4829476,..,5.20723009109497,15.460999999999999,86.25355,84.539,47.9582,51.05183
131,PAK,1670,20.571737592605196,67.114,2.05754609472119,212228288,21.9,..,63.334,67.5748,36.666,30.02037,31.28628
132,PAN,14490,40.17504994240968,78.329,1.69263129326398,4176868,21.4,2.8829300403595,32.291,..,67.709,23.17536,24.98862
133,PER,6480,45.80038054140012,76.516,1.7182682912873,31989265,20.5,3.71429991722107,22.093000000000004,95.65167,77.907,25.23139,28.43119
134,PHL,3710,38.70798103444794,71.095,1.39596533979435,106651394,16.7,3.1331000328064,53.093,..,46.907,13.62392,14.80028
135,PLW,17380,..,..,0.571110174925296,17911,..,6.53000020980835,20.069999999999993,..,79.93,8.4586,9.11868
136,PNG,2600,48.46670590614795,64.263,1.97474647313459,8606324,..,1.8748300075531,86.831,..,13.169,20.63713,22.46643
137,POL,14150,44.72733097057791,77.60243902439025,-0.0002001327828384,37974750,15.4,4.61579990386963,39.942,..,60.058,47.68325,52.06561
138,PRK,..,49.09684987273356,72.095,0.469955192788577,25549606,..,..,38.101,..,61.899,15.75863,17.05255
139,PRT,22060,49.15337199870816,81.32439024390244,-0.160104021146769,10283822,17.2,4.67515993118286,34.789,..,65.211,13.06511,14.28511
140,PRY,5600,40.61173635719348,74.131,1.2878740141998,6956069,24.2,3.28320002555847,38.415,..,61.585,26.36012,28.52303
141,PSE,4190,19.797633613545216,73.895,2.5330114844554,4569087,..,5.31887006759644,23.836,94.84281,76.164,56.20873,58.38964
142,QAT,58830,13.656063401736882,80.1,2.0687541103032,2781682,..,..,0.8649999999999949,94.09431,99.135,25.1534,27.4231
143,ROU,11430,43.069337038078906,75.35853658536587,-0.587493307403584,19473970,23.8,3.34474992752075,46.002,..,53.998,10.83725,12.31182
144,RUS,10250,48.64953164700797,72.66219512195121,-0.0130668924933287,144477859,12.6,4.67819976806641,25.566999999999993,..,74.433,29.6412,31.77051
145,RWA,780,51.78251925017603,68.7,2.64406078348327,12301969,..,3.07375001907349,82.789,94.78978,17.211,52.48343,56.67278
146,SAU,21860,15.76467306853942,74.998,1.8010622175453,33702757,..,7.08581304550171,16.156000000000006,94.5456,83.844,29.29954,32.57206
147,SDN,1390,30.28563482471693,65.095,2.39225797194196,41801532,..,..,65.358,..,34.642,34.97768,40.28262
148,SEN,1390,40.13497068799899,67.665,2.78187970760459,15854324,..,4.85822010040283,52.808,..,47.192,18.59232,20.319
149,SLB,2360,48.475980813287514,72.835,2.61108522453765,652856,..,10.8100004196167,76.251,67.47257,23.749,10.5269,11.95864
150,SLE,490,50.360893826758435,54.309,2.13663626508494,7650149,56.8,6.98963022232056,57.945,..,42.055,38.16426,43.51306
151,SLV,3820,41.87374719257035,73.096,0.509273429616579,6420740,..,3.60575008392334,27.977000000000004,80.99537,72.023,24.77947,26.54018
152,SMR,..,..,..,0.335038486999643,33784,..,3.55516004562378,2.774000000000001,..,97.226,13.10301,13.53783
153,SOM,400,31.20048099601012,57.068,2.83192542389384,15008225,..,..,55.029,..,44.971,21.20704,21.57633
154,SRB,6410,44.099066760145476,75.89024390243902,-0.546351968633598,6982604,23.2,3.58231997489929,43.908,94.55098,56.092,23.02838,23.27957
155,SSD,..,49.44804989243145,57.604,0.595340534474696,10975924,..,..,80.385,..,19.615,26.95023,28.4241
156,STP,1870,35.176616464041615,70.17,1.88756148214117,211032,..,5.23510980606079,27.197000000000003,..,72.803,22.59695,24.45533
157,SUR,5970,40.786572126475775,71.57,0.957016884778029,575987,..,4.92254018783569,33.94,86.02531,66.06,16.71892,17.7722
158,SVK,18340,45.310469704772146,77.2658536585366,0.138508159611326,5446771,11.9,3.97256994247437,46.274,..,53.726,18.58086,20.34046
159,SVN,24640,46.19906738720798,81.3780487804878,0.362584395134764,2073894,12,4.93587017059326,45.459,..,54.541,11.84534,13.50787
160,SWE,55690,47.702093356294284,82.55853658536586,1.16164515996039,10175214,17.1,7.64084005355835,12.569000000000003,..,87.431,10.48103,11.51545
161,SWZ,3620,48.20699907679349,59.401,1.014213397419,1136274,..,5.67916011810303,76.201,..,23.799,15.91557,16.81738
162,SYC,15960,..,72.84146341463415,0.954291917891324,96762,25.3,4.49883985519409,43.309,92.21011,56.691,21.54027,22.31039
163,SYR,930,18.493848030036702,71.779,-0.884869262656999,16945062,..,..,45.838,..,54.162,35.54275,47.50982
164,TCD,680,40.72631216750023,53.977,3.02350454795029,15477727,42.3,2.25947999954224,76.941,..,23.059,38.98608,48.97176
165,TGO,880,48.73798303100945,60.76,2.44590389318048,7889095,..,4.04394006729126,58.298,90.73097,41.702,29.7886,32.28621
166,THA,6610,45.608685205152184,76.931,0.315406676202042,69428454,9.8,3.05677008628845,50.051,..,49.949,49.82257,57.18969
167,TJK,1030,37.95360242608292,70.879,2.45355241672442,9100847,27.4,5.55836009979248,72.866,..,27.134,43.39049,46.81465
168,TKM,6740,41.367685806032625,68.073,1.60634794553413,5850902,..,..,48.407,..,51.593,23.76257,24.54319
169,TLS,1820,45.5676803277454,69.26,1.96841777174323,1267975,..,6.72747993469238,69.422,92.30953,30.578,12.49097,13.15855
170,TON,4800,41.608020823291234,70.801,1.16667421428571,103199,..,6.3729100227356,76.869,..,23.131,9.83596,9.9521
171,TTO,16120,42.25386775421857,73.38,0.416814325359264,1389841,..,3.30403780937195,46.816,..,53.184,23.30292,24.97016
172,TUN,3760,28.842794377551446,76.505,1.14586285100402,11565203,..,..,31.055000000000007,..,68.945,23.83516,24.60659
173,TUR,10510,33.08976645582527,77.437,1.49723204842519,82340090,14.4,4.29406976699829,24.857,..,75.143,14.40985,14.65132
