,Country Code,"GNI per capita, Atlas method (current US$)","Labor force, female (% of total labor force)","Life expectancy at birth, total (years)",Population growth (annual %),"Population, total",Poverty headcount ratio at national poverty line (% of population),"Public spending on education, total (% of GDP)",Rural population (% of total population),"School enrollment, primary (% net)",Urban population (% of total population),2010 Total:,2011 Total:,2012 Total:,2013 Total:,2014 Total:,2015 Total:,2016 Total:,2017 Total:,2018 Total:,2019 Total:
57,FJI,5910,33.064033177928394,67.341,0.684860282111394,883490,..,4.83571004867554,43.752,..,56.248,7.19301,7.03749,7.10199,7.12294,7.22564,7.32313,7.38893,7.45195,7.51985,7.36073
58,FRA,41200,48.24264505011616,82.67560975609757,0.274451849056795,67101930,..,5.40716981887817,19.555999999999997,..,80.444,14.4533,14.72045,13.28604,12.94845,11.87684,12.20689,11.24407,11.2922,11.22835,10.45709
59,FSM,3400,..,67.755,1.05221384801299,112640,..,9.69705009460449,77.297,..,22.703,7.55417,7.3519,7.46286,7.64291,7.37491,7.65392,7.73425,7.6179,7.63087,7.78563
60,GAB,6830,39.811251843484506,66.187,2.60348679566927,2119275,..,2.93345880508423,10.629999999999995,..,89.37,25.25444,25.36521,25.71197,25.17365,24.74257,26.12616,26.67274,25.89724,26.25771,26.28642
61,GBR,42410,46.932877290607365,81.2560975609756,0.605929132212552,66460344,..,5.16799020767212,16.602000000000004,..,83.398,13.17134,13.41139,12.13746,11.82121,10.95413,11.08279,10.18747,10.09013,10.06647,9.51575
62,GEO,4460,46.382246040240005,73.6,-0.0390365463489613,3726549,20.1,3.5210599899292,41.368,96.43624,58.632,22.83911,25.97638,25.60431,23.91735,22.75555,22.56939,22.23778,21.05663,20.65794,19.06419
63,GHA,2120,46.74152917370575,63.78,2.19285287421765,29767108,..,3.8861300945282,43.94,84.48045,56.06,44.15821,45.88362,46.1697,44.52658,44.32529,50.00957,49.58518,48.44405,48.04326,46.04334
64,GIN,860,53.68613555834953,61.185,2.8331175118102,12414292,43.7,2.38432002067566,63.86,..,36.14,36.75639,36.8619,38.56442,35.99449,37.47029,39.19347,39.27696,38.63413,37.9553,37.57394
65,GMB,720,43.773775904940564,61.735,2.94601268814255,2280092,..,2.36543989181519,38.73,76.81635,61.27,37.46242,37.6336,38.99416,36.75793,37.9618,39.87149,38.93244,40.49778,39.85939,39.10354
66,GNB,720,47.28813031506995,58.003,2.4935051959006,1874304,47.7,2.13787007331848,56.64,..,43.36,33.91065,34.199,35.23712,33.12466,34.50521,36.11347,35.00763,36.52577,35.89896,34.84998
67,GNQ,6730,38.1065990400209,58.402,3.65334093213133,1308966,..,..,27.857,..,72.143,24.24799,24.93395,25.52585,24.30935,24.11408,27.28679,26.95478,26.62422,26.37597,25.66867
68,GRC,19080,43.76342562641779,81.7878048780488,-0.202880238259165,10732882,17.9,3.59734010696411,20.941999999999993,..,79.058,19.70342,19.55482,17.69594,17.32218,15.61442,16.44555,15.17234,15.19722,15.68502,14.62251
69,GRD,9610,..,72.384,0.517266573481224,111449,..,3.55255007743835,63.728,95.86628,36.272,9.39634,9.23726,9.78476,9.54154,10.17527,10.76191,10.58836,11.13847,10.56853,10.08384
70,GTM,4400,33.235778874179836,74.063,1.60038598150372,16346950,..,3.13704991340637,48.946,86.88631,51.054,25.981,27.38173,25.71066,27.22863,25.22439,25.41907,24.99632,23.81887,21.71094,20.74787
71,GUY,6290,39.04780156419855,69.774,0.487575158848574,779007,..,4.45058012008667,73.394,..,26.606,10.48881,10.08629,10.7606,10.41427,11.08202,11.72288,11.76084,12.03326,11.51726,11.10584
72,HND,2330,38.15508495765906,75.088,1.66708222728063,9587523,50.4,6.05646991729736,42.904,..,57.096,22.41273,24.6973,22.49206,24.52253,23.10055,23.07178,22.63153,21.06729,20.02576,18.93138
73,HRV,14410,46.6181897865385,78.0707317073171,-0.893486927711056,4087843,18.3,3.90755009651184,43.053,..,56.947,20.99358,22.06682,19.8851,18.93214,19.0963,18.64689,17.72706,18.22426,18.97625,15.28803
74,HTI,1410,48.668086253149156,63.66,1.27405022512994,11123183,..,1.63206994533539,44.722,..,55.278,9.56173,9.04796,9.60844,9.36743,9.92126,10.14026,10.36243,10.61368,10.23239,9.69133
75,HUN,14980,45.564449950331145,76.0658536585366,-0.126786951652838,9775564,12.3,4.62282991409302,28.649,..,71.351,19.48187,20.28949,18.09601,17.41172,17.6783,17.16101,16.18065,16.61689,17.25407,14.24457
76,IDN,3840,39.209262693263156,71.509,1.13450697951891,267670549,9.8,3,44.675,93.4963,55.325,20.59222,19.12046,20.27159,20.90741,18.87457,19.34402,20.77603,18.41187,18.46806,19.3398
77,IND,2010,20.63079697122425,69.416,1.03782784787162,1352642283,..,4.36373996734619,65.97,..,34.03,55.16824,55.05154,55.71659,58.2048,55.88501,55.47851,52.99866,51.30151,55.47787,50.17359
78,IRL,59350,45.847997477136545,82.2048780487805,1.23887545258946,4867316,..,3.39286994934082,36.83,..,63.17,9.902,10.60182,9.42652,9.32749,8.73801,9.16187,8.07617,8.13348,8.30705,8.19503
79,IRN,5110,19.684274084355287,76.479,1.38647833501238,81800204,..,3.9553599357605,25.102000000000004,..,74.898,29.88702,29.6127,29.63387,29.5478,29.05687,29.87318,29.5019,30.35325,32.17821,31.61622
80,IRQ,5040,13.380678284386699,70.454,2.31845313270607,38433604,..,..,29.527,..,70.473,39.31795,38.61172,38.56523,38.55701,36.63165,39.05414,38.51472,38.85521,39.97648,39.28878
81,ISL,67760,47.23104238689313,82.86097560975611,2.67814276922904,352721,..,7.56170988082886,6.186999999999998,..,93.813,6.90546,7.45684,6.63645,6.38553,6.03472,6.43001,5.68914,5.75077,5.88924,5.78865
82,ISR,41320,47.626779823511676,82.80243902439025,1.92662286520241,8882800,..,6.11233997344971,7.581999999999994,..,92.418,24.22698,23.7084,22.15262,22.07348,20.4316,21.65498,19.90068,19.54361,20.21878,19.47101
83,ITA,33850,42.66837976277459,83.34634146341465,-0.190063640113791,60421760,20.1,4.25614023208618,29.561999999999998,..,70.438,20.11166,20.72886,18.51943,17.90644,16.69172,17.27739,15.82346,15.73249,15.97465,14.22481
84,JAM,5010,45.893104608046045,74.368,0.47833817688853,2934853,..,5.41380977630615,44.326,81.0188,55.674,14.58165,13.67548,14.70844,14.31808,15.35632,15.74704,15.97862,16.30178,15.7328,14.8314
85,JOR,4270,18.92871325482255,74.405,1.81748233928602,9965322,15.7,2.98481011390686,9.021,80.8644,90.979,24.53118,24.62581,24.9422,24.85342,24.47033,25.3359,24.86565,25.28584,25.85406,25.87215
86,JPN,41770,43.93553426311229,84.2109756097561,-0.126880068088791,126811000,..,3.07782006263733,8.384,..,91.616,14.2207,13.90566,12.37181,13.4454,13.41395,12.75262,12.54238,11.89025,10.86894,10.83519
87,KAZ,8070,48.10160045228656,73.15,1.31452298457883,18276452,4.3,2.61595010757446,42.572,87.58681,57.428,30.42386,34.57333,34.81683,32.63615,30.90701,30.83178,30.6633,29.0364,28.46401,26.50215
88,KEN,1680,49.2266043383477,66.342,2.30574364203494,51392570,..,5.10761976242065,72.97,..,27.03,12.37721,12.42852,12.46378,12.44209,12.46646,12.49999,12.52689,12.51088,12.58012,12.52415
89,KGZ,1220,38.55157685843177,71.4,1.99032207024617,6322800,22.4,5.55267000198364,63.649,89.85774,36.351,44.68326,50.69917,50.3221,47.60541,44.59643,44.57756,44.04963,41.60872,40.99721,37.58464
90,KHM,1380,48.95570350104401,69.57,1.49034315597302,16249795,..,2.16285991668701,76.612,90.26554,23.388,18.84915,17.31448,18.21766,19.1953,17.01531,17.4328,19.15603,16.83556,17.16058,17.80251
91,KIR,3170,..,68.116,1.46875398423395,115842,..,11.9682903289795,45.943,..,54.057,7.59778,7.61922,7.54133,7.55415,7.33496,7.30706,7.63719,7.63061,7.66936,7.61811
92,KNA,19780,..,..,0.769573260355873,52438,..,4.42000007629395,69.224,..,30.776,7.9259,7.52631,7.91165,7.75147,8.21795,8.59294,8.65734,8.96676,8.59213,8.05126
93,KOR,32750,42.04281850962595,82.62682926829268,0.433519027613049,51585058,..,4.45807981491089,18.540999999999997,..,81.459,29.83355,29.35337,26.17924,28.54048,28.95136,27.60665,27.25594,25.81438,23.69667,24.03774
94,KWT,33710,25.5891862170544,75.398,1.98243711082377,4137314,..,6.38917016983032,0,82.63321,100,66.5074,65.2794,65.70146,65.5682,61.95748,66.17386,64.36795,65.62618,66.04878,64.07714
95,LAO,2490,49.21000555417056,67.61,1.54795306869369,7061498,18.3,2.36999988555908,64.99600000000001,91.46712,35.004,22.85893,20.19389,21.7454,22.53763,20.14811,20.54602,23.09439,19.68483,19.68081,21.15498
96,LBN,7590,24.854309292318185,78.875,0.585360849269362,6859408,..,2.52447009086609,11.406999999999996,..,88.593,24.23999,23.33959,23.97292,23.89735,23.82028,24.49356,24.11258,23.53088,24.0801,24.234
97,LBR,630,47.203445330753496,63.73,2.45258690738409,4818976,..,2.50391006469727,48.849,..,51.151,32.84865,33.43698,35.50188,33.1627,34.65888,37.68039,35.72049,35.98,35.67585,35.79581
98,LBY,11180,35.63900976469591,72.724,1.47585263915873,6678565,..,..,19.897999999999996,..,80.102,31.19201,28.60137,28.5302,30.871,29.98407,29.0747,30.06973,28.41691,30.40843,29.83557
99,LCA,10720,46.84336796627828,76.057,0.515372718122712,181890,..,3.33566999435425,81.322,95.39814,18.678,8.42728,8.33712,8.81156,8.55295,9.10296,9.61662,9.56065,10.02694,9.50754,8.97661
100,LKA,4040,33.87889367805776,76.812,1.04839295829763,21670000,..,2.13539004325867,81.524,99.10711,18.476,24.99107,23.20591,24.60746,25.47886,22.65567,23.08327,25.46074,22.98816,23.12285,23.87759
101,LSO,1230,45.31044468413512,53.705,0.799793018141496,2108327,..,7.28535985946655,71.84700000000001,..,28.153,18.42596,17.74356,17.54277,17.75434,17.95129,17.6502,17.42253,17.75258,17.79953,17.59755
102,LTU,17470,50.22378170297569,75.68048780487806,-0.954190459209969,2801543,20.6,3.89293003082275,32.321,..,67.679,13.87189,12.76746,12.194,12.64978,12.91686,11.43758,10.30377,9.90997,11.11935,10.36907
103,LUX,79540,46.285369079301844,82.29512195121951,1.92883751398765,607950,..,3.64749002456665,9.019000000000005,..,90.981,12.37609,12.6349,11.32265,11.02887,10.26854,10.44694,9.74615,9.83734,9.70775,8.89471
104,LVA,16550,50.011360711643015,74.7829268292683,-0.779138396192231,1927174,22.9,4.24356985092163,31.858000000000004,..,68.142,16.47888,15.06489,14.35427,15.05586,15.38506,13.39956,12.14769,11.45575,12.84245,12.02183
105,MAR,3090,26.042878420269787,76.453,1.25076295051273,36029089,..,5.34884786605835,37.547,99.09904,62.453,13.1705,13.27892,13.23921,12.87496,13.25827,13.48392,13.55217,13.91456,13.58116,13.44048
106,MCO,..,..,..,0.752527100059372,38682,..,..,0,..,100,11.90929,12.36992,11.15613,10.76834,9.97134,10.41417,9.52814,9.62937,9.87806,9.21092
107,MDA,3920,48.532327157683206,71.808,-1.71854141941543,2708214,..,5.43973016738892,57.371,86.31417,42.629,16.83486,15.67313,14.84957,15.10139,15.64055,13.60586,12.51156,11.98123,13.29578,12.36523
108,MDG,500,49.074767203570566,66.681,2.66951722668417,26262313,..,2.84409999847412,62.809,95.60378,37.191,16.50359,16.52913,16.17388,16.54685,16.23716,16.41895,16.52351,15.8643,16.14007,16.02251
109,MDV,9210,22.145178307659844,78.627,3.81549331609073,515704,..,3.91248989105225,60.192,..,39.808,13.38913,12.37565,13.26983,13.66561,12.0814,12.22996,13.66199,12.51763,12.46575,13.00334
110,MEX,9180,37.71694562491612,74.992,1.12641479134149,126190782,41.9,4.2542200088501,19.843999999999994,..,80.156,22.13361,23.52526,22.2395,23.18825,21.56012,21.79878,21.20562,20.43847,18.75159,17.82781
111,MHL,4840,..,..,0.616496178310496,58412,..,15.1999998092651,22.968999999999994,..,77.031,7.2692,7.07336,7.1185,7.2102,6.97074,7.10208,7.2666,7.14984,7.14241,7.21485
112,MKD,5500,39.22582223327988,76.64878048780488,0.0826362901268217,2076217,21.6,..,42.037,..,57.963,34.53379,36.51749,33.87751,30.87741,30.38281,29.51055,28.22692,29.25548,30.05632,25.16804
113,MLI,830,42.59209434976733,58.893,3.00806522834665,19077755,43.8,3.90556502342224,57.644,58.94142,42.356,39.03671,38.28989,39.78941,36.20615,38.38143,40.77241,40.08283,40.3369,39.82185,38.54882
114,MLT,27950,41.53832593471049,82.4487804878049,3.49195540302534,484630,17.1,..,5.388000000000005,..,94.612,17.17263,16.46377,14.39201,14.31433,13.8986,13.853,13.26847,12.60381,13.79236,12.93003
115,MMR,1220,41.087066432632504,66.867,0.608451681137062,53708318,..,2.15748000144959,69.42099999999999,97.93192,30.579,29.45053,26.63846,28.51278,29.31366,26.07728,26.52866,29.2509,25.92626,26.0426,27.16498
116,MNE,8450,43.94222707132508,76.84146341463416,-0.0234613531527775,622227,24.5,..,33.187,96.54847,66.813,26.08957,27.20885,26.83415,23.39572,23.25985,22.49954,21.48403,22.66356,23.34584,19.29617
117,MNG,3690,44.73482229896639,69.689,1.7959102043121,3170214,28.4,6.17301988601685,31.555000000000007,97.69756,68.445,45.20481,51.57723,52.19057,48.76769,47.14049,47.78887,47.50225,45.49607,44.03985,41.30377
118,MOZ,460,52.3300648386726,60.163,2.91361831836918,29496009,..,5.45218992233276,64.012,93.92934,35.988,16.64926,16.31307,16.46958,16.65098,16.6766,16.68126,16.42798,16.25737,16.6806,16.44818
119,MRT,1640,30.906298363662888,64.704,2.78008863129266,4403312,..,..,46.328,79.5744,53.672,38.90393,41.32036,42.27807,40.30183,40.80888,43.67907,42.42518,43.42366,42.58011,41.98461
120,MUS,12270,39.16574172838931,74.41634146341464,0.0545472669534157,1265303,..,4.83458995819092,59.207,94.80512,40.793,10.59822,10.54148,10.59407,10.63984,10.65525,10.75079,10.73204,10.35147,10.44866,10.48182
121,MWI,440,48.74629368128459,63.798,2.64174528787889,18143215,..,3.32295989990234,83.063,..,16.937,18.7213,18.84669,18.96952,18.72721,18.71457,18.80413,18.58392,18.47615,18.60764,18.56954
122,MYS,10650,38.538152689091106,75.997,1.35196001397349,31528033,5.6,4.47865009307861,23.964,..,76.036,22.67492,21.03622,22.27061,23.17544,20.80653,21.43982,22.88744,20.3758,20.49619,21.52164
123,NAM,4920,49.37205599707964,63.373,1.88328489392289,2448300,..,8.88112258911133,49.968,97.48892,50.032,11.93522,12.0992,12.16913,11.85483,11.9326,11.87753,11.90338,11.97733,11.88239,11.81074
124,NER,570,42.7480651481902,62.024,3.81673672075794,22442831,40.8,3.457279920578,83.575,..,16.425,49.54739,49.57459,49.83186,47.72282,48.79553,52.86639,52.51137,52.41127,50.74433,50.15037
125,NGA,1960,44.742421634410626,54.332,2.586551303075,195874685,40.1,..,49.656,..,50.344,52.84583,53.70578,54.53055,52.88635,53.95678,57.2825,57.1711,57.45214,56.52002,55.64206
